设备ID,有功功率,无功功率
12,0.438565,0.383245
13,0.282473333,0.147233333
14,0.4247,0.4034
15,0.4773,0.40886875
16,0.4919875,0.433625
17,0.49718125,0.4614125
18,0.4415125,0.375325
19,3.33333E-05,0
20,0.40402,0.36894
21,0.000456,0.000336
22,0.37504,0.32917
23,0.40052,0.35622
24,0.0008875,0.0007875
1,0.487133333,0.442733333
2,0.000275,0.000175
3,0.544811429,0.494828571
4,0.40505625,0.36741875
5,0.62118,0.5890525
6,0.559868571,0.505771429
7,0.386696,0.33972
8,0.40966,0.35325
9,0.50316,0.467
10,0.3774625,0.33170625
11,0.5808875,0.5483
12,0.42596,0.3995975
13,0.258566667,0.160343333
14,0.411,0.383433333
15,0.4565375,0.41388125
16,0.59879375,0.509225
17,0.38445,0.32821875
18,0.43785,0.3747
19,0.0003,0.000166667
20,0.4352,0.40308
21,0.000856,0.000648
22,0.47713,0.41698
23,0.44068,0.40524
24,0.00031875,0.00018125
1,0.488266667,0.4501
2,0.00016875,0.00010625
3,0.494571429,0.447022857
4,0.416375,0.38828125
5,0.583665,0.5384125
6,0.50866,0.483162857
7,0.443672,0.393976
8,0.40215,0.3569
9,0.45108,0.38596
10,0.41254375,0.37584375
11,0.467575,0.437225
12,0.386165,0.3290275
13,0.258106667,0.159103333
14,0.5116,0.448033333
15,0.449625,0.3997125
16,0.4715625,0.42791875
17,0.4422875,0.38430625
18,0.4954875,0.438775
19,0.000866667,0.000766667
20,0.44478,0.39602
21,0.00088,0.000568
22,0.45053,0.41517
23,0.4853,0.41762
24,0.00036875,0.00023125
1,0.4486,0.391433333
2,0.00020625,0.0001625
3,0.547145714,0.505242857
4,0.45195,0.39685625
5,0.6155725,0.54474
6,0.535797143,0.494125714
7,0.439896,0.388328
8,0.44113,0.39635
9,0.48906,0.43318
10,0.43393125,0.3801125
11,0.63195,0.5762375
12,0.4940625,0.45983
13,0.220706667,0.160753333
14,0.488,0.455333333
15,0.4418375,0.399775
16,0.506725,0.45424375
17,0.43949375,0.38735625
18,0.396525,0.3530375
19,0.0007,0.000433333
20,0.41736,0.36076
21,0.000184,0.000128
22,0.48651,0.41836
23,0.45678,0.41208
24,0.000075,0.00004375
1,0.421633333,0.3756
2,0.000425,0.0003875
3,0.504042857,0.466157143
4,0.3782,0.34700625
5,0.541495,0.4949425
6,0.487511429,0.434151429
7,0.476104,0.43296
8,0.48896,0.4245
9,0.44628,0.40984
10,0.41565,0.39314375
11,0.4678,0.4023
12,0.455825,0.4297325
13,0.293666667,0.145253333
14,0.4125,0.3813
15,0.42685,0.38558125
16,0.563025,0.50669375
17,0.37194375,0.32796875
